"filename", "language", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"/home/archie/Documents/Github-Projects/luxus/src/app/pages/OwnedProducts.tsx", "TypeScript JSX", 0, 0, -1, -3, -4
"/home/archie/Documents/Github-Projects/luxus/src/app/pages/manufacturer/Tabs.tsx", "TypeScript JSX", 0, -5, 0, 0, -5
"/home/archie/Documents/Github-Projects/luxus/src/app/pages/manufacturer/tabs/Mint.tsx", "TypeScript JSX", 0, -128, -5, -30, -163
"/home/archie/Documents/Github-Projects/luxus/src/app/pages/manufacturer/tabs/Register.tsx", "TypeScript JSX", 0, -100, 0, -18, -118
"/home/archie/Documents/Github-Projects/luxus/src/app/pages/manufacturer/tabs/Transfer.tsx", "TypeScript JSX", 0, -4, -1, -1, -6
"/home/archie/Documents/Github-Projects/luxus/src/app/pages/manufacturer/tabs/mint/Mint.tsx", "TypeScript JSX", 0, 166, 0, 32, 198
"/home/archie/Documents/Github-Projects/luxus/src/app/pages/manufacturer/tabs/mint/functions.ts", "TypeScript", 32, 0, 64, 27, 123
"/home/archie/Documents/Github-Projects/luxus/src/app/pages/manufacturer/tabs/mint/generator.ts", "TypeScript", 20, 0, 0, 3, 23
"/home/archie/Documents/Github-Projects/luxus/src/app/pages/manufacturer/tabs/mint/ipfsUpload.ts", "TypeScript", 13, 0, 0, 7, 20
"/home/archie/Documents/Github-Projects/luxus/src/app/qr/QRCodeGenerator.tsx", "TypeScript JSX", 0, -56, 0, -13, -69
"/home/archie/Documents/Github-Projects/luxus/src/lib/constants.ts", "TypeScript", 38, 0, 0, 0, 38
"Total", "-", 103, -127, 57, 4, 37
